Student ID, Country Code, Enrolled Year, Age, Gender,Experienced, Course Code, Engagement Month, Engagement Year,Engagement Type
1           AU   2018   3 6673-1sJMC     20,00AUGUST    2020Lecture 3                     
1           AU   2018   3 6673-1sPYC     20,00JANUARY   2021Lecture 3                     
2           US   2025   2 3636-1sJMC     20,00JULY      2025Lecture 3                     
2           US   2025   2 3636-1sPYC     26,67AUGUST    2025Lecture 4                     
3           IN   2019   9 7581-1sJMC     53,33MAY       2019Lecture 8                     
3           IN   2019   9 7581-1sPYC     46,67NOVEMBER  2022Lecture 7                     
4           AU   2021   1 7175-1sJMC     80,00JANUARY   2022Lecture 12                    
4           AU   2021   1 7175-1sPYC     53,33FEBRUARY  2021Lecture 8                     
5           IN   2015  10 5161-1sJMC     33,33NOVEMBER  2023Lecture 5                     
5           IN   2015  10 5161-1sPYC     60,00SEPTEMBER 2024Lecture 9                     
6           US   2022   9 6770-1sJMC     73,33APRIL     2022Lecture 11                    
6           US   2022   9 6770-1sPYC     73,33JANUARY   2023Lecture 11                    
7           GB   2023   8 5961-1sJMC     80,00FEBRUARY  2025Lecture 12                    
7           GB   2023   8 5961-1sPYC     13,33SEPTEMBER 2024Lecture 2                     
8           IN   2024  12 3031-1sJMC     46,67JULY      2024Lecture 7                     
8           IN   2024  12 3031-1sPYC     60,00MAY       2025Lecture 9                     
9           IN   2019   1 8793-1sJMC     86,67APRIL     2023Lecture 13                    
9           IN   2019   1 8793-1sPYC     40,00AUGUST    2024Lecture 6                     
10          IN   2025   9 4747-1sJMC     86,67JULY      2025Lecture 13                    
10          IN   2025   9 4747-1sPYC     33,33OCTOBER   2025Lecture 5                     
11          IN   2021   4 7276-1sJMC     60,00SEPTEMBER 2025Lecture 9                     
11          IN   2021   4 7276-1sPYC     93,33MARCH     2024Lecture 14                    
12          IN   2019  10 4753-1sJMC     60,00FEBRUARY  2022Lecture 9                     
12          IN   2019  10 4753-1sPYC     13,33MARCH     2025Lecture 2                     
13          US   2023  11 5658-1sJMC      6,67MAY       2025Lecture 1                     
13          US   2023  11 5658-1sPYC     93,33SEPTEMBER 2023Lecture 14                    
14          IN   2019   5 5258-1sJMC     13,33MAY       2020Lecture 2                     
14          IN   2019   5 5258-1sPYC      6,67JULY      2022Lecture 1                     
15          GB   2019   6 2834-1sJMC     93,33JULY      2020Lecture 14                    
15          GB   2019   6 2834-1sPYC     46,67DECEMBER  2022Lecture 7                     
16          IN   2022   1 5558-1sJMC     40,00MAY       2025Lecture 6                     
16          IN   2022   1 5558-1sPYC      6,67APRIL     2025Lecture 1                     
17          US   2021   2 3135-1sJMC      6,67MARCH     2025Lecture 1                     
17          US   2021   2 3135-1sPYC     53,33JUNE      2024Lecture 8                     
18          CN   2020   2 6166-1sJMC     60,00JULY      2021Lecture 9                     
18          CN   2020   2 6166-1sPYC     73,33FEBRUARY  2023Lecture 11                    
19          US   2023   3 5254-1sJMC     33,33SEPTEMBER 2024Lecture 5                     
19          US   2023   3 5254-1sPYC     13,33OCTOBER   2023Lecture 2                     
20          CN   2020   1 2429-1sJMC     66,67MAY       2023Lecture 10                    
20          CN   2020   1 2429-1sPYC     26,67SEPTEMBER 2022Lecture 4                     
21          US   2019  11 2733-1sJMC     80,00AUGUST    2023Lecture 12                    
21          US   2019  11 2733-1sPYC     86,67OCTOBER   2025Lecture 13                    
22          IN   2016  12 2332-1sJMC     93,33SEPTEMBER 2019Lecture 14                    
22          IN   2016  12 2332-1sPYC     66,67AUGUST    2022Lecture 10                    
23          IN   2015   4 2636-1sJMC     80,00AUGUST    2019Lecture 12                    
23          IN   2015   4 2636-1sPYC     86,67AUGUST    2020Lecture 13                    
24          GB   2025   4 4242-1sJMC      6,67DECEMBER  2025Lecture 1                     
24          GB   2025   4 4242-1sPYC     93,33OCTOBER   2025Lecture 14                    
25          GB   2016   3 8291-1sJMC     73,33NOVEMBER  2020Lecture 11                    
25          GB   2016   3 8291-1sPYC     86,67JANUARY   2019Lecture 13                    
